,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
11883,Maricela Velázquez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11884,Maricruz Montelongo Gordillo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11885,Marina Garay Cabada,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11886,Marisol Mora Cuevas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11887,Marisol Vargas Bárcena,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11888,Martha Angélica Bernardino Rojas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11889,Martha Angélica Romo Jiménez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11890,Martha Berenice Álvarez Tovar,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11891,Martha Cecilia Díaz Gordillo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11892,Martha García Müller,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11893,Martha Gutiérrez Manrique,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11894,Martha Jiménez Oropeza,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11895,Martha Leticia Rivera Cisneros,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11896,Martha Partida Guzmán,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11897,Martha Tamayo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11898,Martha Vital,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11899,Mary Telma Guajardo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11900,María Angélica Magaña Zepeda,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11901,María Araceli Vázquez Camacho,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11902,María Argüelles Arellano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11903,María Benítez Navarrete,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11904,María Cabrera Muñoz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11905,María Ceseñas Chapa,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11906,María Concepción Navarrete,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11907,María Dolores González Sánchez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11908,María Dolores Ortega Tzitzihua,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11909,María Díaz de León,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11910,María Elena Barrera,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11911,María Elena Cano Ayala,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11912,María Elena Noriega Blanco,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11913,María Elena Pérez de Tejada,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
