,page,country,rev_id
909,Eugen Bejinariu,Romania,699340034
910,Juliusz Leo,Poland,699340111
911,Leo Goldhammer,Israel,699340192
912,Ivan Tkachenko (politician),Moldova,699340750
913,Yevsey Gindes,Azerbaijan,699340982
914,Pavel Parasca,Moldova,699341069
915,Albin Dunajewski,Poland,699341077
916,Sospeter Machage,Kenya,699341277
917,Franciszek Bajorek,Poland,699359388
918,Mohamed Charfi,Tunisia,699363937
919,Don Ferguson (South Australian politician),Australia,699385095
920,Keith Plunkett,Australia,699387282
921,Kym Mayes,Australia,699387500
922,Max Brown (politician),Australia,699387764
923,Wyllys–Haynes family,United States,699520934
924,Viktor Anpilov,Russia,699565471
925,Derek Nally,Ireland,699589239
926,Fiqirete Shehu,Albania,699674395
927,Fan Chuo (Tang dynasty),China,699691415
928,Óscar Moncada,Nicaragua,699692070
929,José Abel,East Timorese,699698855
930,Yahya Al-Mutawakel,Yemen,699698896
931,Óscar González (politician),Mexico,699700649
932,Rosebud Kurwijila,Tanzania,699701755
933,Constantin Angelescu,Romania,699739069
934,Ivan Marazov,Bulgaria,699876153
935,William Henry Dillon Bell,New Zealand,699931269
936,Ibrahim Ismail (politician),Maldives,699979806
937,Choudry Mohammad Sadiq,Pakistan,700002117
938,William Lundström,Finland,700027061
939,Ivon Wardle,Australia,700061282
940,Alexandre-François Vivien,France,700172278
941,Andrea Törnestam,Sweden,700180948
942,Natisio Loluke,South Sudan,700307974
943,Teker Riek Dong,South Sudan,700312550
944,Sydney Innes-Noad,Australia,700355020
945,Joseph Beeston,Australia,700355034
946,John Hall (New South Wales politician),Australia,700355073
947,Tórbjørn Poulsen,Faroese,700400143
948,Jacek Majchrowski,Poland,700445444
949,Antão Martins Homem,Portugal,700458967
950,Charles Chaumet,France,700474660
951,Albert Roussin,France,700475564
952,Léon Martin Fourichon,France,700476319
953,Louis Raymond de Montaignac de Chauvance,France,700476353
954,Fritz Heckert,Germany,700669417
955,Grand Empress Dowager Shangguan,China,700670718
956,Zaharije Trnavčević,Serbia,700719585
957,Mohamed Kamel Leilah,Egypt,700864508
958,Aleksandr Zolotarev,Ukraine,700932354
959,Timothy Ting,Taiwan,701014752
960,Moinuddin Ahmed Chowdhury,Bangladesh,701047665
961,Dewan Farid Gazi,Bangladesh,701048027
962,Tawfik Tirawi,Palestinian Territory,701106976
963,Léon de la Fontaine,Luxembourg,701219833
964,Mārtiņš Antons,Latvia,701394744
965,Aigars Prūsis,Latvia,701395219
